2026-03-21|NO|3.7455|17.4355|0.813126|Shanghai|-1|0.950000|1
2026-03-22|NO|2.2910|10.7232|0.513123|Seattle|-1|0.731600|1
2026-03-22|NO|-2.3850|10.7232|0.513123|Seattle|-1|0.731600|0
2026-03-22|NO|-1.5274|8.5898|0.512915|Seattle|-1|0.343300|0
2026-03-22|NO|0.9361|8.5898|0.512915|Seattle|-1|0.343300|1
2026-03-22|NO|5.0083|15.1555|0.743240|Seattle|-1|0.858900|1
2026-03-22|NO|-0.2457|53.5773|0.514142|Miami|-1|0.333700|0
2026-03-22|NO|7.5485|53.5773|0.514142|Miami|-1|0.333700|1
2026-03-22|NO|-1.8558|35.7098|0.512737|Miami|-1|0.613600|0
2026-03-22|NO|0.4441|35.7098|0.512737|Miami|-1|0.613600|1
2026-03-22|NO|0.1666|9.1018|0.534158|Dallas|-1|0.387600|1
2026-03-22|NO|5.9525|10.6220|0.534396|Dallas|-1|0.768300|1
2026-03-22|NO|6.0776|6.7563|0.543270|Dallas|-1|0.684400|1
2026-03-22|NO|4.8380|33.9734|0.864001|Dallas|-1|0.950000|1
2026-03-22|NO|2.1759|24.9027|0.532490|Chicago|-1|0.725800|1
2026-03-22|NO|-30.5270|7.7275|0.704376|Dallas|-1|0.895600|0
2026-03-22|NO|4.3784|3.1601|0.542812|Unknown|-1|0.715000|1
2026-03-22|NO|-4.0865|3.1601|0.542812|Unknown|-1|0.715000|0
2026-03-22|NO|30.2823|1.9465|0.554946|Chicago|-1|0.651300|1
2026-03-22|NO|-9.2784|1.9465|0.554946|Chicago|-1|0.651300|0
2026-03-22|NO|-1.3430|2.2168|0.804202|Seattle|-1|0.950000|0
2026-03-22|NO|2.5708|2.2168|0.804202|Seattle|-1|0.950000|1
2026-03-22|NO|1.9374|16.7412|0.792925|Seattle|-1|0.936800|1
2026-03-22|NO|-19.9157|16.7412|0.792925|Seattle|-1|0.936800|0
2026-03-22|NO|-0.0335|1.0095|0.814109|Dallas|-1|0.950000|0
2026-03-22|NO|4.8633|1.0095|0.814109|Dallas|-1|0.950000|1
2026-03-22|NO|0.3045|0.7897|0.791963|Dallas|-1|0.946100|1
2026-03-22|NO|-1.5681|0.7897|0.791963|Dallas|-1|0.946100|0
2026-03-22|NO|1.7750|0.6909|0.781859|Dallas|-1|0.923200|1
2026-03-22|NO|0.1804|0.9886|0.835101|Dallas|-1|0.950000|1
2026-03-22|NO|0.7980|1.1365|0.862548|Dallas|-1|0.950000|1
2026-03-22|NO|0.2170|1.1678|0.832790|Atlanta|-1|0.950000|1
2026-03-22|NO|0.7465|0.9847|0.814894|Unknown|-1|0.950000|1
2026-03-22|NO|-2.3755|0.6659|0.793479|Unknown|-1|0.907000|0
2026-03-22|NO|2.3336|0.6659|0.793479|Unknown|-1|0.907000|1
2026-03-22|NO|0.1351|1.3150|0.894652|Atlanta|-1|0.950000|1
2026-03-22|NO|0.5399|1.0375|0.863922|Atlanta|-1|0.950000|1
2026-03-22|NO|1.7870|1.9691|0.752200|Unknown|-1|0.950000|1
2026-03-22|NO|1.0676|1.6200|0.722612|Miami|-1|0.950000|1
2026-03-22|NO|0.0840|2.6098|0.794740|Miami|-1|0.950000|1
